title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Gungeon Rat Boss Full Fight,2025-09-18 12:09:48,00:17:18,44,114,114,44,Lost,Enter the Gungeon
Noita Pillar Roulette Daily Run,2025-09-19 06:56:16,06:24:11,290,38,290,38,Won,Daily Run
Noita Nightmare + Fungal Pain Run,2025-09-20 07:11:18,02:53:09,119,165,119,165,Won,Nightmare
Noita Power Hour 7 Wins,2025-09-20 10:21:26,01:11:26,134,111,134,111,Won,Power Hour
Noita Soler TI 13-28,2025-09-20 12:21:11,00:35:16,66,225,225,66,Lost,Twitch Integration
Noita Soler TI 15-30,2025-09-21 06:55:16,00:27:43,67,245,245,67,Lost,Twitch Integration
Noita Roulette Daily Run + 2 Ask The Gods,2025-09-21 07:53:19,05:52:40,476,35,476,35,Won,Daily Run
Silksong Bell Beast 1 Attempt,2025-09-24 07:30:15,00:06:42,61,91,91,61,Lost,Hollow Knight: Silksong
Silksong Savage Beastfly 5 Attempts,2025-09-24 11:35:30,00:19:01,51,81,81,51,Lost,Hollow Knight: Silksong
Noita Soler TI 13-37,2025-09-25 06:09:42,00:26:15,49,219,49,219,Won,Twitch Integration
Noita Gold Is DEATH 5 Attempts + coinflip,2025-09-25 07:14:33,00:28:06,83,173,173,83,Lost,Other
Noita Power Words 1 hour,2025-09-25 08:35:01,01:31:25,49,195,49,195,Won,Power Words
Noita Soler TI 12-20,2025-09-25 11:23:28,00:15:18,60,196,196,60,Lost,Twitch Integration
Noita Inventory Filled Daily Run,2025-09-26 08:10:44,04:21:04,409,38,409,38,Won,Daily Run
Noita Soler TI 14-31,2025-09-26 13:11:13,00:26:39,54,191,191,54,Lost,Twitch Integration
Noita Soler TI 12-27,2025-09-27 09:26:47,00:22:45,92,252,252,92,Lost,Twitch Integration
Noita Soler TI 13-37,2025-09-28 07:10:18,00:25:05,51,229,229,51,Lost,Twitch Integration
Noita Material And Creature Collection Daily Run,2025-09-28 08:25:27,08:53:59,490,42,490,42,Won,Daily Run
Silksong Sister Splinter 2 Attempts,2025-10-02 07:48:38,00:07:37,41,65,41,65,Won,Hollow Knight: Silksong
Noita Soler TI 13-37,2025-10-03 07:38:13,00:27:40,66,222,222,66,Lost,Twitch Integration
Noita Creating A Perpetual Gold Machine Daily Run,2025-10-03 08:18:54,05:26:31,415,37,415,37,Won,Daily Run
Noita Used Wand Salesman Daily Run,2025-10-04 07:18:44,05:54:13,531,32,531,32,Won,Daily Run
Noita Soler TI 15-30,2025-10-04 13:32:43,00:10:43,50,189,189,50,Lost,Twitch Integration
