title,date,duration,yes_votes,no_votes,winners,losers,outcome
Noita Wisp Firework Daily Run,2025-07-04 08:54:54,0 days 05:10:05,384,28,384,28,BetOutcome.WIN
Noita Greed Dice Greater Trasure Chest Run,2025-07-05 07:13:42,0 days 07:11:20,447,53,447,53,BetOutcome.WIN
Noita Soler TI 13-33,2025-07-06 07:00:06,0 days 00:08:21,80,230,230,80,BetOutcome.LOSS
Noita Soler TI 13-33,2025-07-06 08:08:30,0 days 00:14:33,65,208,65,208,BetOutcome.WIN
Noita Requirements Spells Build Daily Run,2025-07-06 08:42:04,0 days 03:29:56,464,46,464,46,BetOutcome.WIN
Gungeon No Hit First Boss,2025-07-09 12:18:42,0 days 00:06:35,68,80,80,68,BetOutcome.LOSS
Noita Soler TI 13-37,2025-07-10 07:56:12,0 days 00:22:15,93,237,93,237,BetOutcome.WIN
Noita Educational Fungal Shifts Daily Run,2025-07-10 08:56:27,0 days 02:53:05,376,31,376,31,BetOutcome.WIN
Noita 11 Orb No Flask Daily Run,2025-07-11 07:05:01,0 days 04:28:19,407,46,407,46,BetOutcome.WIN
Noita Soler TI 12-31,2025-07-11 12:03:08,0 days 00:21:51,63,202,202,63,BetOutcome.LOSS
Noita Soler TI 12-31,2025-07-11 12:44:10,0 days 00:16:11,42,180,180,42,BetOutcome.LOSS
Noita Soler TI 18-27,2025-07-12 06:54:32,0 days 00:19:23,67,240,240,67,BetOutcome.LOSS
Noita Sun Quest Daily Run,2025-07-12 08:02:27,0 days 05:18:22,451,35,451,35,BetOutcome.WIN
Noita Power Words 10 Attempts,2025-07-13 06:05:50,0 days 00:52:27,89,269,269,89,BetOutcome.LOSS
Noita Hunting 12 Unique Wands On Daily Run,2025-07-13 07:38:38,0 days 05:59:04,471,32,471,32,BetOutcome.WIN
Noita Soler TI 14-28,2025-07-13 13:55:24,0 days 00:16:20,42,163,163,42,BetOutcome.LOSS
Enter The Gungeon No Hit 1st Boss,2025-07-16 06:46:33,0 days 00:09:36,62,91,91,62,BetOutcome.LOSS
Enter The Gungeon Dragun Boss Kill,2025-07-16 13:24:51,0 days 00:08:48,152,22,22,152,BetOutcome.LOSS
Noita Roulette And Ask The Gods Daily Run,2025-07-18 06:47:07,0 days 04:03:19,443,31,443,31,BetOutcome.WIN
Noita Soler TI 12-20 3 Attempts,2025-07-18 11:35:32,0 days 00:33:50,85,178,85,178,BetOutcome.WIN
Noita 34 Orb Daily Run Without NG+,2025-07-19 07:13:55,0 days 08:25:36,535,44,535,44,BetOutcome.WIN
Noita Soler TI 14-27,2025-07-20 08:41:43,0 days 00:17:33,90,272,272,90,BetOutcome.LOSS
Noita No Wands Run 3 Attempts,2025-07-20 09:40:41,0 days 00:40:08,223,86,223,86,BetOutcome.WIN
Noita Power Words 6 Attempts,2025-07-20 11:14:09,0 days 00:34:46,131,155,155,131,BetOutcome.LOSS
Gungeon 1st Boss No Hit,2025-07-24 06:20:57,0 days 00:08:57,55,91,91,55,BetOutcome.LOSS
Gungeon Dragun Boss Fight,2025-07-24 08:36:58,0 days 00:09:26,123,29,123,29,BetOutcome.WIN
Gungeon Dragun Kill,2025-07-24 11:42:49,0 days 00:09:50,110,24,110,24,BetOutcome.WIN
Gungeon No Hit First Boss,2025-07-25 06:40:44,0 days 00:15:42,65,95,95,65,BetOutcome.LOSS
Gungeon Convict Past Kill,2025-07-25 08:52:13,0 days 00:10:46,169,26,169,26,BetOutcome.WIN
Gungeon First Boss No Hit,2025-07-25 09:23:39,0 days 00:07:09,71,48,71,48,BetOutcome.WIN
Gungeon Pilot Past Kill,2025-07-25 10:51:07,0 days 00:18:53,153,31,153,31,BetOutcome.WIN
Noita Lucky 7 Daily Run,2025-07-26 07:51:18,0 days 07:03:41,504,33,504,33,BetOutcome.WIN
Noita 11 Orb Bleeding Healthium Daily Run,2025-07-27 08:07:35,0 days 06:23:19,497,35,497,35,BetOutcome.WIN
Gungeon Dragun Boss Fight,2025-07-30 08:14:04,0 days 00:13:18,62,47,47,62,BetOutcome.LOSS
Gungeon Rat Boss,2025-07-30 12:27:14,0 days 00:06:58,69,70,70,69,BetOutcome.LOSS
Noita Soler TI 14-27,2025-07-31 07:50:56,0 days 00:32:19,75,246,246,75,BetOutcome.LOSS
Noita Nightmare Run Win,2025-07-31 08:57:06,0 days 00:20:35,211,60,60,211,BetOutcome.LOSS
Noita Nightmare Run Attempt 2,2025-07-31 09:20:43,0 days 00:13:59,179,58,58,179,BetOutcome.LOSS
Noita Small Range Roulette Daily Run,2025-07-31 11:06:41,0 days 01:57:04,327,33,327,33,BetOutcome.WIN
Noita Soler TI 18-27 5 Options,2025-08-01 07:53:10,0 days 00:13:24,84,221,221,84,BetOutcome.LOSS
Noita Nightmare Run,2025-08-01 08:21:53,0 days 02:24:44,206,144,206,144,BetOutcome.WIN
Noita Finding All 18 Unique Wands Run,2025-08-02 04:13:44,0 days 14:32:17,895,66,895,66,BetOutcome.WIN
